companyName,primaryPhone,mobile,telephone,email,city,address,areas,category,certificateNo,validityDate,technology,source
Apower Engineering & Services,0333-1413264,0333-1413264; 0311-1363786,042-38939322,rasibhussnain@gmail.com; info@apower.com.pk,Lahore,"Town, Lahore.",ICT & Punjab,C-3,CR/22/039/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Archies,0322-2572227,"0322-2572227; 0333-9912299, 0332-8217779","021-35386004, 35394140",solaronic@hotmail.com; info@archies.com.pk,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/184/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Artisan Solar,"0334-2418165, 0301-3704007","0334-2418165, 0301-3704007; 0333-2354464",,nationalpvc.pk@gmail.com; artisansolar@outlook.com,Karachi,"M.A.M.H.S, Karachi.","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/071/C-3,,Solar,PPIB C-3 (upto 250 kW)
Aston Energy,0322-4001332,"0322-4001332; 0331-2224445, 0330-2000402","042-36370758, 36314839",ali@alizpk.com; aygroup.ar@gmail.com,Lahore,"30-Phase-1, Nasheman-e-Iqbal Cooperative Housing Society, Lahore.",,C-3,CR/24/176/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Axovolt (SMC Private) Limited,0305-4009082,0305-4009082,042-35342996,axovolt3@gmail.com,Lahore,"Town, Lahore.","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/002/C-3,22-11-2024,Solar,PPIB C-3 (upto 250 kW)
Azmi Traders,0323-9013090,0323-9013090; 0330-5845448,021-35640150,kw.khan1990@gmail.com; azmitraders232@gmail.com,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/131/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Barq Power Solutions,0300-2017035,0300-2017035,"042-35758724, 35758727; 021-32477308",akram.toor@tapl.com.pk; barqpowersolution@gmail.com,Karachi,"G-K 7/1000, M.A Jinnah Road, Office no. 215 & 216, Jelani Center, Karachi.",,C-3,CR/24/169/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Bawany Traders,"0344-4448314, 0316-1416831","0344-4448314, 0316-1416831; 0321-2313303","042-37180429; 021-32700121, 32752121",info@thesmarthomesolutions.com; cright786@gmail.com,,,,C-3,CR/24/265/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Bellco Trading Company (Private) Limited,0300-8201082,0300-8201082,"021-32724078, 32723957; 042-111-111-353",bawaney@hotmail.com; bellcotradingcompany786@gmail.com,Lahore,"Raiwind, Lahore.",ICT & Punjab,C-3,CR/24/260/C-3,30-06-2027,Solar,PPIB C-3 (upto 250 kW)
Bilwani International,"0334-2245514, 0316-5134558","0334-2245514, 0316-5134558; 0334-3199445; 0321-8244489","021-32567485, 32574649",technicalalternative@gmail.com; a.moiz.bilwani@gmail.com; muhammadsalman@,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/155/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Bin Hameed Enterprises,0300-2188224,0300-2188224; 0335-2963338,"021-35680591, 35677274; 051-2712667, 5421147",se-electronics@hotmail.com; binhameed.ento@gmail.com,,,,C-3,CR/24/104/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Bright Sun Engineering Services,0300-8651336,0300-8651336; 0305-8889210,"041-2651336, 2658851; 051-5427133",zec2001@hotmail.com; info@brightsun,Islamabad,"Ground, ICON, Center, Sector-B,, Society, G.T. Road,, Zone-V, Islamabad.",ICT & Punjab,C-3,CR/23/061/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Buraq Energy Solutions,"0307-1068107, 0331-4140607","0307-1068107, 0331-4140607",,info@buraqsolar.com,ICT,"Jinnah Boulevard, West Sector, DHA-2,","ICT, Punjab & KPK",C-3,CR/22/014/C-3,28-03-2025,Solar,PPIB C-3 (upto 250 kW)
Burraq Energy Solutions,0324-4370152,"0324-4370152; 0335-3572756, 0318-1257242",042-35227077,primaxsolarenergy@gmail.com; burraq.esolutions@gmail.com,Karachi,"C-24, Sector 16-B, Malik Anwar Goth, Near Godhra Stop, Karachi",,C-3,CR/24/120/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
C Right Energy,0332-8251000,0332-8251000; 0333-3770880,"021-3227846, 32237823",ahsanhanif@gmail.com; crightmobile1@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/140/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Capital Solar,"03-111-126422, 0315-2780066","03-111-126422, 0315-2780066; 0311-5022426, 0341-0012426",,asif.iqbal@amicapakistan.com; capitalsolarnetmetering@gmail.com,ICT,"Road, F-8 Markaz,","ICT, Punjab & KPK",C-3,CR/23/077/C-3,03-04-2026,Solar,PPIB C-3 (upto 250 kW)
Capital Trading Corporation,0333-2638595,0333-2638595; 0300-8281002,"022-2670006-7; 021-32767670, 32767667",knkengineering9@gmail.com; zeeshancapital@gmail.com,ICT,,ICT & Punjab,C-3,CR/23/142/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Cosmos Energies,0320-6327727,0320-6327727,,usmanlodhi00000@gmail.com,,,,C-3,CR/23/097/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Creation,0333-0333618,0333-0333618; 0300-8282729,,info@geonergydolar.com; topline99@hotmail.com,,"Chundrigar Road,",,C-3,CR/24/280/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Crown Green Power (Private) Limited,0321-8254699,0321-8254699; 0345-3537476,,babar5176@icloud.com; cfo@crowngroup.com.pk,Karachi,"Shade no. 7, Plot no. 672-673, Deh Joreji, Near Indigo Textile, Bin Qasim Town, Malir, Karachi.",,C-3,CR/24/190/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Ehsan Importer and Exporter,"0316-8164569, 0315-2100003","0316-8164569, 0315-2100003",,ehsanimpex@gmail.com,Multan,"37B, Commercial Area, B-Block, Model Town, Multan.",ICT & Balochistan,C-3,CR/24/206/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
EJ Solar,0300-4403004,0300-4403004; 0335-3230148,042-35970111,info@renergent.com; ahmadgodil@gmail.com,,,,C-3,CR/24/052/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Elahi Energy,0305-8889210,0305-8889210; 0300-8667430,051-5427133; 041-8729458,info@brightsun; info@elahienergy.com,Faisalabad,"148, C-1, Peoples Colony, Faisalabad.",ICT & Punjab,C-3,CR/23/062/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
EMECH Engineering,0300-8267292,"0300-8267292; 0307-2222733, 0333-2227936",021-32566309-10,info@salimww.com.pk; info@emechengineering.com,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/163/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
F M Solars,0300-2171301,0300-2171301; 0336-3000882,021-32270416-17,abdullahmagoo1@hotmail.com; fahadmemon701@gmail.com,,,,C-3,CR/24/239/C-3,,Solar,PPIB C-3 (upto 250 kW)
Fahad Mubarak Trading (Private) Limited,0300-8732258,0300-8732258; 0333-1111232; 0342-9555555,"061-4589067, 4547209; 0606-374355",operations@mramzan.net; fahadmubaraktrading@gmail.com; zubair@ekgot.com,Karachi,"House mo. S-26, Staff Lane-8, DHA Phase-1, Karachi.",ICT & Punjab,C-3,CR/24/172/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Faiz & Co.,0300-8329599,0300-8329599; 0331-5559072,,saeedu407@gmail.com; faizullahhaji@gmail.com,ICT,"Awami Market, Bara Bazar Shop, Khyber Bara.","ICT, Punjab & KPK",C-3,CR/24/216/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Faiz Traders 010,0300-9753532,0300-9753532; 0345-4362115,,lodhie115@gmail.com; faiz.m9220@gmail.com,ICT,"Market, Ratta Road,",ICT & Punjab,C-3,CR/23/111/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Fast Solar (Private) Limited,"0300-0076527, 0320-4444435","0300-0076527, 0320-4444435; 0311-1123278",041-8787699; 042-35132344,info@solarx.pk; info@fastsolar.com.pk,ICT,"137-A, Block-D,, Housing Society,",ICT & Punjab,C-3,CR/23/049/C-3,23-10-2025,Solar,PPIB C-3 (upto 250 kW)
Fayyaz Traders,0301-2727407,"0301-2727407; 0300-5961382, 0321-9019202",,aamir.sheikh@danytech.com; info@fytraders.com,ICT,"Karkhano Market,",ICT & Punjab,C-3,CR/24/166/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
FIB Trade,,,,bilal@salimww.com.pk,,,,C-3,CR/24/272/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Fusion Solar Energy (Private) Limited,0335-2963338,"0335-2963338; 0300-0850606, 0300-0850609","051-2712667, 5421147",binhameed.ento@gmail.com; info@fusionsolarenergy.pk,ICT,,"ICT, Punjab, Sindh & KPK",C-3,CR/23/105/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
Galaxy International Builders,0321-8112514,0321-8112514,,gxy.trad@gmail.com,ICT,,ICT & Balochistan,C-3,CR/24/199/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Genesys Energy Solutions,0321-8777895,0321-8777895; 0321-3499092,0323-8203104; 021-35141256-257; 051-8350281,hassanfarooq278@gmail.com; malinawaz@hotmail.com; saif.abbas@pncsuppliers.com,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/213/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Geo Resources Associates,"0315-5125508, 0333-5546339","0315-5125508, 0333-5546339; 0300-6952881; 0303-6046866",,nabidecent77@gmail.com; nazrfajar@yahoo.com; info@solenergy.pk,Lahore,"3.5KM Raiwand, Manga Road, Tehsil Raiwand, Lahore.",ICT & Punjab,C-3,CR/24/268/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Geonergy Solar (Private) Limited,0332-555861,0332-555861; 0333-0333618,"021-35840259, 35840260",m.bilal@skyclanglobal.com; info@geonergydolar.com,,,,C-3,CR/24/279/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Gerrys Global Trade,0336-3780875,0336-3780875; 0301-2727407,021-33393802,omerusman4@gmail.com; aamir.sheikh@danytech.com,ICT,,"ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/165/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Go Supplier & Services (Private) Limited,0331-5332521,0331-5332521,,mt.matiullah1996@gmail.com; malikshahid0331@gmail.com,ICT,"Double Road, Block",ICT & Punjab,C-3,CR/24/152/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Green Craft Engineering Works,"0304-7266266, 0300-0780825","0304-7266266, 0300-0780825; 0345-4375761, 0342-4555552",,swiftsolarenergy786@gmail.com; jiajee121@hotmail.com,Lahore,"2-KM, Katar Bund Road, Thokar Niaz Baig, Lahore.",ICT & Punjab,C-3,CR/24/186/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Growatt PK (Private) Limited,0321-6226141,0321-6226141,,info@growattpk.com,,,,C-3,CR/24/024/C-3,13-05-2025,Solar,PPIB C-3 (upto 250 kW)
GS Corporation,0343-5813807,0343-5813807; 0314-9037904,,mfenterprises232@gmail.com; gscorporation2017@yahoo.com,ICT,"Industrial Area,","ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/159/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Gulf Contractor & Works,0321-8235819,0321-8235819; 0333-3990881,"021-32210952, 32634373",bilalr57@gmail.com; gulfc.w@gmail.com,,,,C-3,CR/24/079/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
H & F Enterprises,,,,bilal@salimww.com.pk; hfenterprises024@gmail.com,,,,C-3,CR/24/273/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
H&S Traders Co.,"0300-9508525, 0315-9135406","0300-9508525, 0315-9135406; 0321-8804444","091-2010700, 051-4718225, 2223111",adamenergy111@gmail.com; hnstradersco@gmail.com,Lahore,"265, Ghori Block, Bahria Town, Lahore.",,C-3,CR/24/248/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Habib Trading Company,0346-2742262,0346-2742262; 0315-9310720,,info@3raysolutions.com; habibreham54401@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/118/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Haji Ali Akbar Khan Jadoon,0333-8575268,0333-8575268; 0333-9881116,"081-2830376, 2006026",,Quetta,"Bhoy Road, Quetta.",ICT & Balochistan,C-3,CR/24/056/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Haroon Brothers,051-4444759,051-4444759; 0300-4845001,"051-4444758; 042-37238421, 36604623",info@pakevergreenenergy.com; info@haroonbrothers.com,ICT,"2, Cavalry Ground,","ICT, Punjab & Sindh",C-3,CR/23/005/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Haruto Engineering Solutions LLP,"0322-8484113, 0315-4660088","0322-8484113, 0315-4660088; 0311-4499592",042-35312155,info@saver-solar.com; md@harutoengineering.com,,,,C-3,CR/24/234/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Hire Engineering (Private) Limited,0321-2313303,"0321-2313303; 0332-5316006, 0334-5545548","021-32700121, 32752121",cright786@gmail.com; hirenegg@gmail.com,ICT,"Fazal-e-Haq Road,",ICT & Punjab,C-3,CR/24/266/C-3,30-06-2027,Solar & Wind,PPIB C-3 (upto 250 kW)
Hum Solar Services (SMC Private) Limited,0300-8282729,"0300-8282729; 0333-1114522, 0315-8492136",,topline99@hotmail.com; humservices1@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/281/C-3,30-06-2026,Solar,PPIB C-3 (upto 250 kW)
IKFFA (Private) Limited,0322-8206665,0322-8206665; 0332-8251000,021-32290032,sanishaeikh1433@gmail.com; ikffalimited@gmail.com; ahsanhanif@gmail.com,ICT,"Shed on Ground, Federal B Area,",ICT & Punjab,C-3,CR/24/138/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Impact Solutions (Private) Limited,0305-9750120,0305-9750120; 0300-5545520,,shamalhassan447711@gmail.com; shujah.qazi@iitsols.com; info@impactsols.com,Islamabad,"Phase-2, Sector-D,, DHA, Islamabad",ICT & Punjab,C-3,CR/24/114/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Indus Clean Energy (Private) Limited,0321-5014107,0321-5014107; 0300-8241835,021-34394311,ahmed.annus157@gmail.com; queries@induscleanenergy.com,ICT,"Block-9, KDA","ICT, Sindh & Balochistan",C-3,CR/23/016/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Infralectric (Private) Limited,0311-1363786,0311-1363786; 0331-8777999,042-38939322; 051-4443368,info@apower.com.pk; bilal.qureshi@sctechglobal.com,ICT,,"ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/040/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Instant Energy (Private) Limited,0321-4850907,0321-4850907; 0322-2499009,042-35211617,info@smartsolar.pk; contact@instanenergy.net,ICT,,"ICT, Punjab & Sindh",C-3,CR/23/032/C-3,30-06-2025,Solar & Wind,PPIB C-3 (upto 250 kW)
Integra Solar (SMC-Private) Limited,0314-9037904,0314-9037904; 0321-2888887,051-2724261,gscorporation2017@yahoo.com; mahmood@integrasolar.com.au,ICT,,ICT & Punjab,C-3,CR/24/160/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Irek Merx,0314-7706776,0314-7706776; 0304-5777665,,mubashar677@gmail.com; irekmerx@gmail.com,Islamabad,"Shaop No. 3, Plot No. 86, I & T Centre, G-8/1, Islamabad.",ICT & Punjab,C-3,CR/24/026/C-3,02-06-2025,Solar,PPIB C-3 (upto 250 kW)
JJ Constructors,0333-3990881,0333-3990881,,gulfc.w@gmail.com; jjc.adnan@yahoo.com,,,,C-3,CR/23/080/C-3,30-06-2023,Solar,PPIB C-3 (upto 250 kW)
JNS International,0345-2244802,0345-2244802,,jns_generators@hotmail.com,,,,C-3,CR/24/150/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
KAZ Solar,0324-8156536,0324-8156536; 0300-7217396,055-3856873-76; 041-2552283,metalex609@gmail.com; kazsolar@yahoo.com,ICT,,ICT & Punjab,C-3,CR/24/262/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
KNK Engineering,0333-3770880,0333-3770880; 0333-2638595,"021-3227846, 32237823; 022-2670006-7",crightmobile1@gmail.com; knkengineering9@gmail.com,,"C-22, Phase-1, Near",,C-3,CR/23/141/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
LK Super Trading Company,0300-5978396,0300-5978396; 0316-8853539,,solarerainnovations@gmail.com; luqmanhakimadil@gmail.com,Rawalpindi,"Godowns no. 12-A, D.M Textile Mills, Westridge Industrial Area, Rawalpindi.",ICT & Punjab,C-3,CR/24/255/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Lodhi Enterprises,0330-5845448,0330-5845448; 0300-9753532,0213-5120360,safaindustry232@gmail.com; lodhie115@gmail.com,ICT,"Market, Novelty, Cinema, Ratta Road,",ICT & Punjab,C-3,CR/23/110/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Lucky Energy Solutions,0322-7677069,0322-7677069; 0321-6404067,,kashif@zakengineering.com; rizwanullahgorraya@gmail.com,ICT,"Colony, Attawa, Main GT Road,",ICT & Punjab,C-3,CR/23/127/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
M Power Energies,"0321-5185247, 0345-5073864","0321-5185247, 0345-5073864; 0300-4240976",,a.salam@yahoo.com; mnazmughal17@gmail.com,Lahore,"Bund Road, Shera Kot Stop, Opp. New Khan Termainal, Lahore.",ICT & Punjab,C-3,CR/24/257/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Maaz Trading,"0333-5939006, 0317-0003337","0333-5939006, 0317-0003337; 0300-9753532",,outdotrading@gmail.com; su.sanaullah2001@gmail.com,ICT,,ICT & Punjab,C-3,CR/23/129/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Main Group,0300-2171301,0300-2171301,021-32270416-17,sohaib.roomi84@gmail.com; abdullahmagoo1@hotmail.com,,,,C-3,CR/24/238/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Maqsood Inc. (Heavy Machinery Dealer),"0300-5961382, 0321-9019202","0300-5961382, 0321-9019202; 0321-5729669",,info@fytraders.com; asifaati55@gmail.com,ICT,,"ICT, Punjab, Sindh & Balochistan",C-3,CR/24/167/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Maris International (Private) Limited,0300-1560914,0300-1560914; 0300-4369026,091-2650314,shabeer01714@gmail.com; marisinternationalpvtltd@gmail.com,ICT,,"ICT, Punjab, Sindh, KPK & Balochistan",C-3,CR/24/251/C-3,30-06-2027,Solar & Wind,PPIB C-3 (upto 250 kW)
Mati Ullah Traders,0345-2244802,0345-2244802,,jns_generators@hotmail.com; mt.matiullah1996@gmail.com,Rawalpindi,"Amral Road, Rawalpindi.",,C-3,CR/24/151/C-3,,Solar,PPIB C-3 (upto 250 kW)
MaxGreen Energy (Private) Limited,0311-5533273,0311-5533273; 0303-2117909,021-35340586,msolarenergydadu@gmail.com; sales@maxgreenenergy.com.pk,ICT,,"ICT, Punjab & Sindh",C-3,CR/24/085/C-3,02-05-2026,Solar,PPIB C-3 (upto 250 kW)
Mazher Hassan Solar Energy Dadu,0333-7294329,0333-7294329; 0311-5533273; 0303-2117909,021-35340586,pakistanpowersystems@gmail.com; msolarenergydadu@gmail.com; sales@maxgreenenergy.com.pk,,,,C-3,CR/23/084/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Mehran Engineering Services,0332-3750668,0332-3750668,0213-6336126,mes.engineering20@gmail.com,Karachi,"WSA-32, Block-14, F.B. Area, Karachi.",,C-3,CR/24/074/C-3,07-02-2026,Solar,PPIB C-3 (upto 250 kW)
Metalex,0324-8156536,0324-8156536,042-111-111-353; 055-3856873-76,bellcotradingcompany786@gmail.com; metalex609@gmail.com,ICT,"Aftab Steel Market,",ICT & Punjab,C-3,CR/24/261/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
"Midway Centrum, Rawalpindi.",0300-2666111,0300-2666111; 0304-5588859,042-37238877,mahtab72@gmail.com; fenterc6@gmail.com,Lahore,"LG-54, Qazi Centre, Hall Road, Lahore.",ICT & Punjab,C-3,CR/24/147/C-3,08-01-2027,Solar,PPIB C-3 (upto 250 kW)
MIS Energy (Private) Limited,0322-2499009,"0322-2499009; 0336-3507455, 0336-2051187",,contact@instanenergy.net; misenergy@outlook.com,,,,C-3,CR/22/034/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Moosa Trading Co.,0331-5559072,0331-5559072; 0342-5928682,,faizullahhaji@gmail.com; bakhtrawantrading2020@gmail.com,,,,C-3,CR/24/217/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Move Energy (Private) Limited,0300-4369026,0300-4369026; 0320-8106314,,marisinternationalpvtltd@gmail.com; info@moveenergy.co,ICT,,ICT & Punjab,C-3,CR/24/252/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Muhib International,0321-2888887,0321-2888887; 0332-2418046,051-2724261,mahmood@integrasolar.com.au; fahad.mirza@hotmail.com,,,,C-3,CR/24/161/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
N.Z.K Traders,"0345-9622101, 0300-5245065, 0300-5670345","0345-9622101, 0300-5245065, 0300-5670345; 0349-5685184",,shahinaam53@gmail.com; nzktraders05@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/221/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Nexflux Solar (SMC-Private) Limited,0305-8411502,0305-8411502,,nadeem.malik@solutionspk.com.pk; nexfluxsolar@gmail.com,,,,C-3,CR/24/227/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
NGECS,0306-6040369,0306-6040369; 0315-5650597,051-2249769,info@ngecs.com; ehtishamakbar1@gmail.com,,,,C-3,CR/24/202/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Onyx Energies (Private) Limited,"0321-8477120, 0303-8891711","0321-8477120, 0303-8891711; 0321-6163063, 0321-6153063, 0300-4871107",042-35711916,noorsonstrading@gmail.com; engr.abdulrauf.10@gmail.com,ICT,,ICT & Punjab,C-3,CR/24/188/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
"Opp. Sui Gas Office, Near Jab Pull, Mansehra Road, Abbottabad.",0315-8842033,0315-8842033; 0316-7041982,,attiqurrahman970@gmail.com; abatterycenter@gmail.com,,,,C-3,CR/24/197/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Osaka Impex,0300-8370844,0300-8370844; 0334-3730727,,zbawani95@gmail.com; contact@osakaintl.com,ICT,,"ICT, Sindh & Balochistan",C-3,CR/24/180/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
Oslo Power & Energy Company (Private) Limited,0300-8385245,0300-8385245; 0342-5202782,042-32188810; 051-2726503,info@skylandenergy.pk; info@oslopower.com.pk,ICT,,ICT & Punjab,C-3,CR/24/178/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
OUTDO Trading Company,0321-6404067,"0321-6404067; 0333-5939006, 0317-0003337",,rizwanullahgorraya@gmail.com; outdotrading@gmail.com,ICT,,ICT & Punjab,C-3,CR/23/128/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
PAWA (Private) Limited,0333-1111232,0333-1111232; 0342-9555555; 0320-8855444,0606-374355; 044-4771344,fahadmubaraktrading@gmail.com; zubair@ekgot.com; neelumsolarpvtltd@gmail.com,Layyah,"Chak no. 304/TDA, Main MM Road, Karor Lal Esan, Layyah.",ICT & Punjab,C-3,CR/24/173/C-3,30-06-2024,Solar,PPIB C-3 (upto 250 kW)
Perfect Services,0345-3537476,0345-3537476; 0303-6459002,,cfo@crowngroup.com.pk; fair_abid@live.com,Multan,"1507/RH, Sui Gas Road, Samejabad no. 02, Shah Rukn e-Alam Town, Multan Cantt.","ICT, Punjab, Sindh & KPK",C-3,CR/24/191/C-3,30-06-2025,Solar,PPIB C-3 (upto 250 kW)
