company_name,contact_and_address,phone,city,solar_priority
SAIR INTERNATIONAL,"MR.MUHAMMAD ZAHEER SAIR HOUSE # 5, KORANG ROAD, BANI GALA, ISLAMABAD",051-2613835,Islamabad,Low
SWIFT BIZ SOLUTIONS (PVT) LTD,"MR.ABDUL REHMAN MEHMOOD 95-A, STREET # 18, F-11/2, ISLAMABAD",051-2297847,Islamabad,Low
GILLANI HYGIENIC PRODUCTS (PVT) LTD,"SYED RIAZ SHAH PLOT # 190, KAHUTA TRIANGLE,INDUSTRIAL AREA,HUMMAK,ISLAMABAD",051-5558713,Islamabad,High
CNPC CHUANQING DRILLING ENGG.COMPANY LTD,"MR.ZENG WEIJUN HOUSE # 56, STREET # 1, F-6/3, ISLAMABAD",051-2828838,Islamabad,Low
DEWAN DRILLING LTD,"MR.MUHAMMAD ALI-UD-DIN ANSARI 46-NAZIMUDDIN ROAD, F-7/4, ISLAMABAD",051-2655470,Islamabad,Low
RENTAL SOLUTIONS & SERVICES (PVT) LTD,"MR.AAMIR MANSOOR HOUSE # 24, STREET # 30, F-6/1, ISLAMABAD",051-2276552,Islamabad,Low
TNB LIBERTY POWER LTD,"MR.WAN NORAZRI BIN AB AZIZ 92, RAZIA SHARIF PLAZA, 4TH FLOOR, BLUE AREA, ISLAMABAD",051-2276344,Islamabad,Medium
EVS-EVISION SOFTWARE,"MR.M.AZHAR HUSSAIN HOUSE # 1018, STREET # 93, 1ST FLOOR, I-8/4, ISLAMABAD",051-4861689,Islamabad,Low
INTEGRA OPUS GROUP,"MR.QASIM BIN SIDDIQUE 13-B, GALAXY ARCADE, G.FLOOR, G-11 MARKAZ, ISLAMABAD",051-4444852,Islamabad,Medium
SHER KHAN TRADERS,"MR.SHER KHAN SHOP # 80,FRUIT MARKET, I-11/4, ISLAMABAD",051-5536890,Islamabad,High
"TELE ALLIANCE SARDAR ESPHANDYAR KHAN OFF.# 207,2ND FLOOR, GINZA CENTRE, JINNAH AVENUE, ISLAMABAD",,051-2804203,Islamabad,Low
TESLA INDUSTRIES (PVT) LTD,"MR.AAMIR HUSSAIN PLOT NO.81-G, ST.NO.6, I-10/3, ISLAMABAD",051-4441404,Islamabad,High
THE WORX,"MR.HABIB ULLAH MIR HOUSE # 567, STREET # 99, G-9/4, ISLAMABAD",051-2228936,Islamabad,Low
XPLOR TECHNOLOGIES,"SYED ALI PLOT # 5,SAFA GOLD MALL F-7 MARKAZ,JINNAH SUPER MARKET, ISLAMABAD",051-2210460,Islamabad,Medium
ZEB BROTHERS (PVT) LTD,"MR.WAJID CHAN ZAIB AL HAMID MALL OFF.15-16, 2ND FLOOR, NEAR D.WATSON G-11 MARKAZ, ISLAMABAD",051-2361485,Islamabad,Medium
ALVI CORPORATION (PVT) LTD,"MS.SABA ALVI SHOP # 1, AGHAZ PLAZA, F-8 MARKAZ, ISLAMABAD",051-2851266,Islamabad,Medium
A.A.FLOWMATIC ENGINEERING (PVT) LTD,"MR.NAVEED TAJAMAL HUSAIN MALIK PLOT # 101-103, HUMAK, INDUSTRIAL ESTATE, SIHALA ROAD, ISLAMABAD",051-4491446,Islamabad,High
AGROVENTURES (PVT) LTD,"BRIG.(R) FAROOQ AFZAL HOUSE # 5, STREET # 15, F-7/2, ISLAMABAD",051-2652713,Islamabad,Low
"BIAFO INDUSTRIES LTD. KHAWAJA AMANULLAH ASKARI 203-204,M.GULISTAN KHAN HOUSE,FAZAL-E-HAQ ROAD, 82E,BLUE AREA,ISLAMABAD",,051-2150263,Islamabad,Low
BOTANIC BERG,"MR.KAMRAN ZAIDI 2ND FLOOR,AAMIR BLDNG. NEAR AIMS(SCHOOL)HAIDER CAMPUS,TARLAI,ISLAMABAD",051-2532347,Islamabad,Low
ASIA INTERNATIONAL,"MR.MUHAMMAD ASIF HOUSE # 15, STREET # 53, G13/2, ISLAMABAD",051-2508667,Islamabad,Low
EFFENDI CONSOLIDATED (PVT) LTD,"DR.SARDAR AZAM EFFENDI HOUSE # 132-A, STREET # 37, F10/1, ISLAMABAD",051-2104756,Islamabad,Low
HEDRA TECHNOLOGY CONSULTANTS (SMC-PVT)LTD,"MR.ROMAN AFROZ BUTT OFF.# 7,2ND FLOOR,64-W, MASCOW PLAZA,BLUE AREA, JINNAH AVENUE,ISLAMABAD",051-2803171,Islamabad,Medium
HIMALAYA HONEY BEES,"MR.ABDUL RAUF HOUSE # 10,STREET # 9, MUSLIM TOWN,SIMLY DAM ROAD BHARA KAU,ISLAMABAD",051-2230079,Islamabad,Low
IMPEX CO,"MR.ABDUL WAHEED KHAN HOUSE # 7,STREET # 3-D, SECTOR-B,DHA PHASE-II, ISLAMABAD",051-5562039,Islamabad,Low
QURESHI TRADERS,"MR.JUNAID SHAHID QURESHI HOUSE # 126, AL-REHMAN ROAD, GHORI TOWN, KHANNA EAST, ISLAMABAD",051-2528070,Islamabad,Low
RAAMIK (PVT) LTD,"MR.WAQAS JAMIL HOUSE # 1574, STREET 72, SECTOR-F,DHA-1, ISLAMABAD",051-5874418,Islamabad,Low
SALMAN & CO,"MR.HASSAN KAMRAN BUTT 31, SCHOOL ROAD, F-6/1, ISLAMABAD",051-2241291,Islamabad,Low
SALMAN ENTERPRISES,"MR.SAMIR SALMAN BUTT 5, HILL ROAD, F-6/2, ISLAMABAD",051-2241291,Islamabad,Low
SETHI & CO,"MR.TARIQ FAROOQ SETHI PLOT # 397,398,399, I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4449547,Islamabad,High
SUN RISE EXPORTER,"MS.ALIA SOHAIL HOUSE # 130, STREET # 65, F-11/4, ISLAMABAD",051-2110493,Islamabad,Low
VISUAL ENTERPRISES,"MR.BASHIR AHMED FLAT # 2, BLOCK 3-C, ST. # 41, POWER MARKET, G-10/4, ISLAMABAD",051-2855240,Islamabad,Low
WATERCON,"SYED ABID ALI BUKHARI HOUSE # 203, STREET # 1A, F10/3, ISLAMABAD",051-2154088,Islamabad,Low
WILSON INTERNATIONAL,"MR.LATIF-UR-REHMAN HOUSE # 23, STREET #28, F-8/1, ISLAMABAD",051-8431818,Islamabad,Low
YONG ZHEN IMPORT & EXPORT COMPANY (PVT) LTD,"MR.LI YONG ZHANG HOUSE # 3, STREET # 8, F-8/3, ISLAMABAD",051-2853623,Islamabad,Low
ABDUL GHAFOOR & SONS,"CH.ABDUL GHAFOOR SHOP # 300, SABZI MANDI,I11/4, ISLAMABAD",051-4440671,Islamabad,Low
B.S.INTERNATIONAL,"CH.PERVAIZ BASHIR PLOT NO.15-16, I-11/4, FRUIT MARKET, ISLAMABAD",051-4442890,Islamabad,High
BASHIR SHABIR & CO,"MR.BASHIR AHMED SHOP # 236, NEW SABZI MANDI, I-11/4, ISLAMABAD",051-4443363,Islamabad,High
,"HAFIZ ABDUL WAHEED & SONS HAFIZ ABDUL WAHEED PLOT # 53, FRUIT MARKET I11/4, ISLAMABAD",051-4449784,Islamabad,Low
AL-MIRAJ INTERNATIONAL,"MR.SIKANDAR HAYAT SUITE # 12FF, 1ST FLOOR, MUSSARAT ARCADE, G-11 MARKAZ, ISLAMABAD",051-2362801,Islamabad,Medium
GOLDEN FOODS,"MR.AJAZ IBRAHIM 59, TRIANGLE INDUSTRIAL ESTATE, KAHUTA ROAD, HUMMAK, ISLAMABAD",051-4491203,Islamabad,High
DESIGNMEN CONSULTING ENGINEERS (PVT) LTD,"MR.MUJEEB AHMAD 1ST FLOOR,9-WEST,RIZWAN PLAZA, JINNAH AVENUE, F-6, ISLAMABAD",051-2828577,Islamabad,Medium
RABBANI ENTERPRISES,"SYED TAHIR MAHMOOD RABBANI OFF.# 2, 8-A, POTOHAR PLAZA, BLUE AREA, ISLAMABAD",051-2274394,Islamabad,Medium
MAFHH INTERNATIONAL,"SYED ISRAR HUSSAIN PLOT # 256, STREET # 6, I-9/3, ISLAMABAD",051-4432088,Islamabad,High
MARWA IMPEX,"MR.MUHAMMAD YASEEN OFF.# 25-A, STREET # 4, NEW SHAKRIAL, GARDEN TOWN, ISLAMABAD",051-4443507,Islamabad,Low
MEHMAND INSAF COMMISSION AGENTS,"MR.MUHAMMAD REHMAN SHOP # 75, FRUIT MARKET, I-11/4, ISLAMABAD",051-4444167,Islamabad,High
SHEIKH IMPEX,"MR.MUHAMMAD SHABBIR SHOP # 283, FRUIT & VEGETABLE MARKET, I-11/4, ISLAMABAD",051-4443363,Islamabad,High
DINSONS,"MR.SHAHBAN SHOUKAT BLOCK 8,2ND FLOOR,SUITE 201205,SHAUKAT COMPLEX, F-6,SUPER MKT.ISLAMABAD",051-2276284,Islamabad,Low
PESHAWAR ROSE WOOD & CARPET COLLECTION,"MR.SAID REHMAN SHOP # 2,BLOCK # 5-B,F-6 MARKAZ,SUPER MARKET, ISLAMABAD",051-2277109,Islamabad,Medium
FORTE ASSOCIATES,"MR.FAWAD ALI BAAHIR PLAZA, KIANI ROAD BHARA KAU, ISLAMABAD",051-2233483,Islamabad,Medium
PAK TURK ENTERPRISES,"MR.SUDDR-UD-DIN HOUSE # 1001, STREET # 93, 1ST FLOOR, I-8/4, ISLAMABAD",051-4866027,Islamabad,Low
STRONGMAN MEDIFUR SYSTEMS (PVT) LTD,"MR.ALI HASAN PLOT 14, SANITARY MARKET, I-11/3, ISLAMABAD",051-4863946,Islamabad,High
BABAR & SONS,"MR.MUHAMMAD ZAHEERUDDIN BABAR 22,2ND FLOOR, ZAKI CENTRE, I-8 MARKAZ, ISLAMABAD",051-4861261,Islamabad,Medium
DURRANI CORPORATION (PVT) LTD,"MR.FARHAD DURRANI 248-B, STREET # 32, F-10/1, ISLAMABAD",051-2293000,Islamabad,Low
HAMEEDA'S ENVOGUE FASHION,"MS.HAMIDA SHAHID HOUSE # 161, STREET # 47, F-10/4, ISLAMABAD",051-5854294,Islamabad,Low
KHURSHID FATIMA & SONS,"MR.MUHAMMAD NAEEM HOUSE # 164,STREET # 6, PHASE 4-B,GHORI TOWN, ISLAMABAD",051-2150118,Islamabad,Low
LAILA (PVT) LTD,"MS.HINA MANSAB KHAN HOUSE # 499, STREET # 109, I-8/4, ISLAMABAD",051-2298877,Islamabad,Low
MYSTIQUE BOUTIQUE,"MR.ZIA KHALID CHAUDHRY SHOP 10, BLOCK # 5, MEHMOOD PLAZA, FAROOQIA MARKET, F-6/1, ISLAMABAD",051-2814126,Islamabad,Medium
NAK'LAH WEARS,"MR.ABBAS KARIM PLOT # 2-L, STREET # 38, I-9/4, ISLAMABAD",051-4858444,Islamabad,High
PAKGULF TRADING CO,"MR.MUHAMMAD NABEEL TAHIR OFF.95,FRUIT & VEGETABLE MARKET, I-11/4,ISLAMABAD",,Islamabad,High
SAFRAN INTERNATIONAL (PVT) LTD,"MR.MISBAH ULLAH OFF.#5,2ND FLOOR,MUSARAT ARCADE, G-11 MARKAZ, ISLAMABAD",051-2360758,Islamabad,Medium
JN ENTERPRISES,"MR.JOSEPH JOHN DAYAL SANA APARTMENT # 6, DIPLOMATIC ENCLAVE, G-5, ISLAMABAD",051-4861172,Islamabad,Low
RAFSU INTERNATIONAL,"MR.ASHFAQ ULLAH 573, STREET # 4, I-9/1, ISLAMABAD",051-4430722,Islamabad,High
OPAL STUDIOS,"CHAUDHRY USMAN-UL-HAQ 3RD FLOOR, 16-D, SAFDAR MANSION, FAZAL-E-HAQ RD.BLUE AREA, ISLAMABAD",051-2871549,Islamabad,Medium
MAGNUM & CO,"MR.IRFAN SAEED MALIK # 4, STREET # 4, F-8/3, ISLAMABAD",051-2287075,Islamabad,Low
NIAZI ENTERPRISES,"MR.YAR MUHAMMAD NIAZI D-17, BHADANA FATEH JANG ROAD, TARNOL, ISLAMABAD",051-5826235,Islamabad,Low
,"QAZI & SONS MR.MUHAMMAD AFTAB QAZI PLOT # 375-A, POTHOHAR ROAD,I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4435374,Islamabad,High
VIBRANT SOLUTIONS,"MR.SHAHAB RABBANI MALIK HOUSE # 215, STREET # 75, F-11/1, ISLAMABAD",051-2113065,Islamabad,Low
WORLD WIDE VISION (PVT) LTD,"QAZI TAHIR NADEEM 8-HUMA PLAZA, BLOCK 25, FAZAL-E-HAQ ROAD, BLUE AREA, ISLAMABAD",051-2829357,Islamabad,Medium
BEHRAM AUTOS,"MR.MUHAMMAD UMAR OFF.# 32,33, WALEED PLAZA, SARRYA MORE, TARNOL, ISLAMABAD",051-4411058,Islamabad,Medium
CHEMECH ENGINEERS (PVT) LTD,"MR.MUHAMMAD YOUNUS BEG MIRZA HOUSE # 23, STREET # 61, F-8/4, ISLAMABAD",051-2266191,Islamabad,Low
GEO IMPEX,"MR.MUHAMMAD ASIF AKBAR MARKET,PESHAWAR RD OPP.RAMZAN CNG,SARAI KHRBUZA,TARNOL,ISLAMABAD",051-2226939,Islamabad,Low
AAFIA ENTERPRISES,"MR.SHAUKAT ALI 429-A, STREET # 14, I-9, INDUSTRIAL AREA, ISLAMABAD",051-4434291,Islamabad,High
BROADBASE ENTERPRISES,"MS.NAJAM-US-SAHER HOUSE # 22, STREET # 26, KORANG TOWN, ISLAMABAD",051-5958751,Islamabad,Low
CONVERGE ENTERPRISE SERVICES (PVT) LTD,"MR.FAROOQ RAUF SUITE # 4, 3RD FLOOR, HASSAN ARCADE, F-11 MARKAZ, ISLAMABAD",051-2224317,Islamabad,Medium
CROEM PAKISTAN (PVT) LTD,"MR.MUHAMMAD HUSSAIN OFF.# 2, 2ND FLOOR, BLOCK E-1, SUPER MARKET, F-6 MARKAZ, ISLAMABAD",051-2826086,Islamabad,Medium
DIGITAL RESEARCH LABS (PVT) LTD,"MR.HASHIR JAN OFF.# 44, STREET # 23, F-10/2, ISLAMABAD",051-2294583,Islamabad,Low
KNOWLEDGE PLATFORM (SMCPVT) LTD,"MR.TALHAH MUNIR KHAN 3RD FLOOR, CONSTITUTION AVENUE,F-5/1, SOFWARE TECHN. PARK, ISLAMABAD",051-2828668,Islamabad,Low
TIP TOP EMBROIDERERS (PVT) LTD,"MR.GHALIB ANWAR PLOT # 5,DURRANI STREET BANI GALA, ISLAMABAD",051-2612732,Islamabad,Low
UMAR & CO,"MR.MUHAMMAD UMAR H.# 382,ST.# 47-A,GROUND FLOOR,PHASE-II,MARGALLA TOWN, ISLAMABAD",051-2612867,Islamabad,Low
W.W TRADE ENTERPRISES,"MR.ABUL HASHIM SYED AHMED ALVI HOUSE # 2090, CHAMBALY ROAD, I-10/2, ISLAMABAD",051-4442257,Islamabad,High
PAK ENGINEERING,"MR.HASSAN FARID PLOT # 25,I-9,INDUSTRIAL AREA, ISLAMABAD",051-4434134,Islamabad,High
USMAN BROTHERS,"CHAUDHRY AAMIR IKRAM OFF.# 372, STREET # 64, I-8/3, ISLAMABAD",051-4442976,Islamabad,Low
VICTORY PIPE INDUSTRIES (PVT) LTD,"CH.WAHEED-UD-DIN PLOT 330, ST.# 4, I-9/3, INDUSTRIAL AREA, ISLAMABAD",051-4434384,Islamabad,High
