company_name,industry_type,address,phone,city,solar_priority
CARAWAY PHARMACEUTICALS,DRUGS & PHARMACEUTICALS,"PLOT NO. 12, STREET NO. N-3, NATIONAL INDUSTRIAL ZONE (RCCI) RAWAT, RAWALPINDI",051-5532115,Rawalpindi,High
GOODMAN LABORATORIES PLOT NO. 5,DRUGS & PHARMACEUTICALS,"STREET NO. S-5, NATIONAL INDUSTRIAL ZONE RAWAT RAWALPINDI",051-5532093,Rawalpindi,High
GRAND PHARMA (PVT) LIMITED,DRUGS & PHARMACEUTICALS,"PLOT NO. 5-A ROAD, RCCI INDUSTRIAL ESTATE, RAWAT, RAWALPINDI","0333-5191443, 051-4854081",Rawalpindi,High
IPRAM INTERNATIONAL,DRUGS & PHARMACEUTICALS,"PLOT # 26, S.S 3 NATIONAL INDUSTRIAL ZONE, RAWAT, Rawalpindi",051-4610991,Rawalpindi,High
LINEAR PHAMA,DRUGS & PHARMACEUTICALS,"PLOT # 18, STREET # S-4, NATIONAL INDUSTRIAL ZONE, RAWAT, RAWALPINDI",051-5532115,Rawalpindi,High
NEOMEDIX,DRUGS & PHARMACEUTICALS,"PLOT # 5 N/5, NATIONAL INDUSTRIAL ZONE, RAWAT, Rawalpindi",051-5852096,Rawalpindi,High
RELIANCE PHARMA,DRUGS & PHARMACEUTICALS,"08, ST.08, RCCI INDUSTRIAL ESTATE, Rawalpindi",0321-8544001,Rawalpindi,High
SHAIGAN PHARMACEUTICALS (PVT) LTD.,DRUGS & PHARMACEUTICALS,"14 KM., ADIALA ROAD, P.O. DAHGAL, Rawalpindi",051-5571441-2,Rawalpindi,High
UNIMAR PHARMACEUTICALS,DRUGS & PHARMACEUTICALS,"NATIONAL INDUSTRIAL ZONE, RAWAT, Rawalpindi",051-5852097,Rawalpindi,High
WEBROS PHARMACEUTICALS,DRUGS & PHARMACEUTICALS,"PLOT NO.1, STREET NO.S-9, RCCI INDUSTRIAL AREA, RAWAT, Rawalpindi",051-4434757,Rawalpindi,High
WELL & WELL PHARMA (PVT)LTD PLOT NO. 7,DRUGS & PHARMACEUTICALS,"STREET 8, NATIONAL INDUSTRIAL AREA, RCCI, RAWAT, Rawalpindi","051-4322446, 0300-8562160",Rawalpindi,High
WAH NOBEL (PVT) LTD G.T. ROAD,EXPLOSIVES,"WAH CANTT, Rawalpindi","051-5568760, 4545240",Rawalpindi,High
AL-AZIZ FLOUR MILL DHOKE HAMEEDA RAWALPINDI,FLOUR MILLS,", Rawalpindi",051-2217475-6-7-8,Rawalpindi,High
AL-FAROOQ FLOUR MILL NASEERABAD RAWALPINDI,FLOUR MILLS,", Rawalpindi",051-5466300-1-2,Rawalpindi,High
AL-HARMAIN FLOUR MILLS,FLOUR MILLS,"PLOT NO. 3, W.I.R.C.C.I, RAWALPINDI","051-4610982, 4611066",Rawalpindi,High
AL-JAWAD FLOUR MILL,FLOUR MILLS,", Rawalpindi",0301-5299949,Rawalpindi,High
AL MADINA FLOUR & GENERAL MILLS,FLOUR MILLS,"NASWARI BAZAR, Rawalpindi","051-5551185, 5533447",Rawalpindi,High
AL-REHMAT FLOUR MILL G.T ROAD TAXILA,FLOUR MILLS,", Rawalpindi",051-4349563,Rawalpindi,High
AL SHAHBAZ FLOUR MILL G.T ROAD WAH CANTT,FLOUR MILLS,", Rawalpindi",051-4531034-5,Rawalpindi,High
AL-HAMEED FLOUR AND GENERAL MILLS,FLOUR MILLS,"RAILWAY WORKSHOP ROAD, Rawalpindi","051-5555860, 5559322",Rawalpindi,High
AL-HARMAIN FLOUR MILLS,FLOUR MILLS,"PLOT NO. 3 W I INDUSTRIAL AREA, RAWAT, Rawalpindi","051-4610982, 4611077, 4611038-9",Rawalpindi,High
AL-KARIM FLOUR MILL INDUSTRIAL AREA,FLOUR MILLS,", Rawalpindi","051-4611038, 051-4611919",Rawalpindi,High
AL-KHIZRIA ROLLER FLOUR MILLS,FLOUR MILLS,"DHOK ELAHI BUKHSH, Rawalpindi","051-5504816, 5505816",Rawalpindi,High
AL-LATIF FLOUR & GENERAL MILLS,FLOUR MILLS,"MOHRA SHAHWALI, G.T.ROAD TAXILA, Rawalpindi","051-4542131, 4534223",Rawalpindi,High
AL-LATIF FLOUR MILL G.T ROAD TAXILA,FLOUR MILLS,", Rawalpindi","051-4534223, 4542131",Rawalpindi,High
AL-MAJAHID FLOUR MILLS,FLOUR MILLS,"RATTA ROAD, Rawalpindi",051-5537911-2,Rawalpindi,High
AL-NOOR FLOUR & GENERAL MILLS,FLOUR MILLS,"KALLAR ROAD, RAWAT, Rawalpindi",051-4611304-5,Rawalpindi,High
AL-QAMAR FLOUR & GENERAL MILLS (PVT) LTD. RAILWAY WORKSHOP ROAD,FLOUR MILLS,", Rawalpindi","051-5531242, 5770942, 5531442",Rawalpindi,High
AL-WAHAB FLOUR & GENERAL MILLS,FLOUR MILLS,"7-WESTRIDGE, Rawalpindi",051-5476175-6,Rawalpindi,High
AL-WARIS ROLLER FLOUR & GENERAL MILLS (PVT) LTD.,FLOUR MILLS,"14TH KM, CHAKRI ROAD, Rawalpindi",0333-5230234,Rawalpindi,High
AMEER ALAM FLOUR MILL G.T ROAD WAH CANTT,FLOUR MILLS,", Rawalpindi",0572-521199,Rawalpindi,High
CHAMAN FLOUR MILLS,FLOUR MILLS,"LATIFABAD, G.T.ROAD, Rawalpindi",0571-595338,Rawalpindi,High
CHENAB FLOUR & GENERAL MILLS (PVT) LTD.,FLOUR MILLS,"WAH GARDEN, G.T. ROAD, WAH, Rawalpindi",057-2521355,Rawalpindi,High
CITY FLOUR MILL G.T ROAD WAH,FLOUR MILLS,", Rawalpindi",057-2520016,Rawalpindi,High
CLASSIC FLOUR & GENERAL MILLS,FLOUR MILLS,"KALLAR SAYYEDAN ROAD, RAWAT, Rawalpindi",051-4611754-5,Rawalpindi,High
GHANI FLOUR MILL CHAKRA ROAD,FLOUR MILLS,", Rawalpindi",051-5827904,Rawalpindi,High
HABIB FLOUR AND GENERAL MILLS,FLOUR MILLS,"RATTA ROAD, Rawalpindi",051-5541849-50,Rawalpindi,High
HAZMIC FLOUR MILLS,FLOUR MILLS,"SAGRI BARAMA, G.T.ROAD, WAH CANTT, Rawalpindi","051-4532385, 4539550, 0333-5125774",Rawalpindi,High
HUSSAN FLOUR MILLS,FLOUR MILLS,"S.I.E. GUJAR KHAN, Rawalpindi","051-3511462, 3515601",Rawalpindi,High
JAMEEL FLOUR MILL G.T ROAD RAWAT,FLOUR MILLS,", Rawalpindi","0308-5000248, 051-2564222",Rawalpindi,High
JAN & JAN FLOUR & GENERAL MILLS (PVT) LTD.,FLOUR MILLS,"G.T.ROAD, RAWAT, Rawalpindi","051-3595342, 3595442",Rawalpindi,High
JAVED FLOUR MILLS,FLOUR MILLS,"FATEH JANG ROAD, DHOK HAMEDA, Rawalpindi",051-2295393,Rawalpindi,High
KHAN FLOUR AND GENERAL MILLS,FLOUR MILLS,"FATEH JANG ROAD, DHOKE HAMED, Rawalpindi","051-2295528-9, 2295532",Rawalpindi,High
KHURRUM FLOUR AND GENERAL MILLS,FLOUR MILLS,"WESTRIDGE, Rawalpindi",051-5460955,Rawalpindi,High
KHYBER FLOUR MILLS,FLOUR MILLS,"SEHAM ROAD, Rawalpindi",051-5476265,Rawalpindi,High
KOHSAR AL-HILAL FLOUR MILLS (PVT) LTD. F-12 WESTRIDGE,FLOUR MILLS,", Rawalpindi","051-5473699, 5461496",Rawalpindi,High
LASANI FLOUR AND GENERAL MILLS,FLOUR MILLS,"G.T.ROAD, TAXILA, Rawalpindi","051-4535400, 4534995",Rawalpindi,High
LATIF MAJEED ROLLER FLOUR MILLS (PVT) LTD.,FLOUR MILLS,"G.T.ROAD TAXILA, Rawalpindi","051-4545284-5, 4537184",Rawalpindi,High
MAHNOOR FLOUR MILL G.T ROAD TAXILA,FLOUR MILLS,", Rawalpindi",051-4543746,Rawalpindi,High
MODREN FLOUR MILL NASEER ABAD,FLOUR MILLS,RAWALPINDI,051-5472444,Rawalpindi,High
MOHSIN FLOUR MILLS,FLOUR MILLS,"G.T.ROAD TAXILA, Rawalpindi","051-4536263, 4543063",Rawalpindi,High
MUHAMMADI FLOUR MILL PIR WADHAI ROAD,FLOUR MILLS,RAWALPINDI,051-5440033,Rawalpindi,High
MUSTQEEM FLOUR MILL G.T ROAD WAH CANTT,FLOUR MILLS,", Rawalpindi",051-4533371,Rawalpindi,High
NASEER FLOUR MILLS,FLOUR MILLS,"RATTA ROAD, Rawalpindi",051-5555120,Rawalpindi,High
NEW AL-HILAL FLOUR MILLS,FLOUR MILLS,"WESTRIDGE, Rawalpindi","051-5473699, 5461495",Rawalpindi,High
NEW AL-MIRAJ FLOUR MILL G.T ROAD WAH,FLOUR MILLS,", Rawalpindi",051-4543320,Rawalpindi,High
NEW HABIB FLOUR MILLS LTD. SAGRI MORE,FLOUR MILLS,"NEAR RADIO PAKISTAN, G.T.ROAD, Rawalpindi","051-4611161, 0333-5234230",Rawalpindi,High
NEW PAK FLOUR MILLS (PVT) LTD. G.T.ROAD,FLOUR MILLS,"GUJAR KHAN, Rawalpindi","051-3510312, 3510315",Rawalpindi,High
PAK ROLLER FLOUR & GENEAL MILLS,FLOUR MILLS,"PESHAWAR ROAD, Rawalpindi","051-5472791, 5472596",Rawalpindi,High
POTHOHAR FLOUR AND GENERAL MILLS,FLOUR MILLS,"MATOOR ROAD, KAHUTA, Rawalpindi","051-3311350, 3412655",Rawalpindi,High
POUNCH FLOUR MILL G.T ROAD WAH CANTT,FLOUR MILLS,", Rawalpindi",05-4530848-9,Rawalpindi,High
PUNJAB FLOUR MILLS (PVT) LTD. 22-WESTRIDGE FACTORY AREA,FLOUR MILLS,", Rawalpindi","051-5460903, 5477601",Rawalpindi,High
RAWAT FLOUR MILLS,FLOUR MILLS,"G.T ROAD RAWAT, Rawalpindi",0300-5100152,Rawalpindi,High
REHMAN FLOUR & GENERAL MILLS,FLOUR MILLS,"MOZA GHANI ALAM SHER NEAR SAGRI MORE, RAWAT, Rawalpindi","051-4610075, 4610768",Rawalpindi,High
SAGIR FLOUR MILL G.T ROAD WAH CANTT RAWALPINDI,FLOUR MILLS,", Rawalpindi",051-4541303,Rawalpindi,High
SETHI FLOUR MILLS,FLOUR MILLS,"ISLAM SHAHEED ROAD, HASSANABDAL, Rawalpindi",051-520788,Rawalpindi,High
SHAHEEN FLOUR & GENERAL MILLS,FLOUR MILLS,"G.T ROAD, WAH CANTT, Rawalpindi",051-4531574-5,Rawalpindi,High
SHAHTAJ G.T ROAD WAH CANTT RAWALPINDI,FLOUR MILLS,", Rawalpindi",057-2522894,Rawalpindi,High
SHAN FLOUR MILL G.T ROAD,FLOUR MILLS,"WAH CANTT, Rawalpindi",0333-5038005,Rawalpindi,High
SITAR FLOUR MILL,FLOUR MILLS,"G.T ROAD, WAH CANTT, Rawalpindi",051-4539704-05,Rawalpindi,High
TAXILA FLOUR MILL G.T ROAD TAXILA,FLOUR MILLS,", Rawalpindi",051-45355964,Rawalpindi,High
TWO STAR FLOUR MILL RASWAL ROAD SANJANI DISTRICT RAWALPINDI,FLOUR MILLS,", Rawalpindi",0346-5373807,Rawalpindi,High
UNITED KASHMIR FLOUR MILLS (PVT) LTD.,FLOUR MILLS,"KILYAM MORE, RAWAT, Rawalpindi",0321-5258883,Rawalpindi,High
USMAN FLOUR MILLS,FLOUR MILLS,"G.T.ROAD, NEAR BAHTAR MORE, WAH CANTT, Rawalpindi","051-4532226-7, 4612479",Rawalpindi,High
VIP FLOUR MILL INDUSTRIAL AREA,FLOUR MILLS,"RAWAT, Rawalpindi","0300-8354858, 051-2573555",Rawalpindi,High
ZAMAN FLOUR MILLS (PVT) LTD. G.T.ROAD,FLOUR MILLS,"RAWAT, Rawalpindi",0334-5015013,Rawalpindi,High
AGA KHAN HEALTH SERVICES IODIZED SALT PLANT,FOOD PRODUCTS,"10-C BANGASH COLONY, PIRWADHAI, Rawalpindi",051-5474855,Rawalpindi,High
FARMER MARKET (PVT) LTD. 25 KM G.T. ROAD,FOOD PRODUCTS,", Rawalpindi",0593-595618-9,Rawalpindi,High
FAUJI CEREALS,FOOD PRODUCTS,"P.O BOX 57, DHAMIAL ROAD, Rawalpindi","051-5576904, 5576663",Rawalpindi,High
TOPS FOOD & BEVERAGES,FRUIT JUICES,"3 NATIONAL PARK ROAD, Rawalpindi",051-5567041-7,Rawalpindi,High
WIN PIPE INDUSTRIES (PVT) LTD.,G.I./M.S.PIPES,"BANTH MORE, JILYARI GOJRI, MANDRA, Rawalpindi",051-5591251-2,Rawalpindi,High
HEAVY MECHANICAL COMPLEX LTD. HATTAR ROAD,HEAVY ENGG.,"TAXILA, Rawalpindi",051-9270562-6,Rawalpindi,High
BOC GAS,INDUSTRIAL/BURN GASES,"WAH CANTT, Rawalpindi",0596-537041,Rawalpindi,High
BOC PAKISTAN LTD. ADJACENT TO HEAVY MECHANICAL COMPLEX NO.2 HMC,INDUSTRIAL/BURN GASES,", Rawalpindi",051-581681,Rawalpindi,High
CAP. GAS (PVT) LTD. MUSTALA DAULTALA,INDUSTRIAL/BURN GASES,"GUJAR KHAN, Rawalpindi",0571-590133,Rawalpindi,High
FOUNDATION GAS FILLING PLANT,INDUSTRIAL/BURN GASES,"MORGAH, Rawalpindi","051-562470, 562509",Rawalpindi,High
MODERN GASSES,INDUSTRIAL/BURN GASES,"PLOT # 41, ST.NS-1, NATIONAL INDUSTRIAL ZONE, RAWAT, RAWALPINDI","051-4433025, 0321-5444500",Rawalpindi,High
NEW CRECENT CARBONIC GAS CO. 135-KASHMIR ROAD,INDUSTRIAL/BURN GASES,", Rawalpindi",051-583745,Rawalpindi,High
PAK HI-TECH GASES (PVT) LTD PLOT NO. 25,INDUSTRIAL/BURN GASES,"STREET NO. NS-2, NATIONAL INDUSTRIAL ZONE, RAWAT, RAWALPINDI",051-4322100-4322105,Rawalpindi,High
GUJRAT STEEL,LPG CYLINDERS,"17-A, PIPE LINE ROAD, NEW LALA ZAR, Rawalpindi","051-5580630, 5582723",Rawalpindi,High
FINE PLASTIC WORKS,PLASTIC PRODUCTS,"ZAFAR UL HAQ ROAD, Rawalpindi",051-5593569,Rawalpindi,High
HI-TECH PLASTIC (PVT) LTD.,PLASTIC PRODUCTS,"WAH CANTT, Rawalpindi","051-9314101-121, 9314396",Rawalpindi,High
ISLAMABAD FEEDS MILLS,POULTRY FEED,"CHAK BALI KHAN ROAD, RAWAT, Rawalpindi",051-4610790-91,Rawalpindi,High
JI ENTERPRISES,POULTRY FEED,"4-A/N-6 RCCI INDUSTRIAL ESTATE, RAWAT, Rawalpindi",051-4610809,Rawalpindi,High
SADIQ BROTHERS FEEDS,POULTRY FEED,"LATIFABAD GUJAR KHAN, Rawalpindi",051-4457551-60,Rawalpindi,High
SB FEED INDUSTRIES (PVT) LTD. 27-KM. G.T ROAD RAWAT,POULTRY FEED,", Rawalpindi",051-4851291,Rawalpindi,High
ATTOCK REFINERY LIMITED,REFINERY,"P.O. MORGAH REFINERY, Rawalpindi",051-5487041-7,Rawalpindi,High
ROYAL RUBBER INDUSTRIES,RUBBER PRODUCTS,"CHAK BAELLI KHAN ROAD, RAWAT, Rawalpindi",051-630122,Rawalpindi,High
KOHINOOR TEXTILE MILLS LTD.,TEXTILE COMPOSITE,"PESHAWAR ROAD, Rawalpindi",051-5473941-3,Rawalpindi,High
REDCO TEXTILE MILLS,TEXTILE COMPOSITE,"3 KM RAWAT KALLER SYADAN ROAD, RAWAT, Rawalpindi",051-4610402-3,Rawalpindi,High
D.M.TEXTILE MILLS LTD; WESTRIDGE,TEXTILE SPINNING,", Rawalpindi",051-5480139,Rawalpindi,High
KOHINOOR TEXTILE MILLS LTD. GUJAR KHAN,TEXTILE SPINNING,", Rawalpindi",051-3564472-4,Rawalpindi,High
RELIANCE WEAVING MILLS (SPINNING UNIT),TEXTILE SPINNING,"CHAK BELI ROAD, RAWAT, Rawalpindi",051-4611579,Rawalpindi,High
RESHI TEXTILE MILLS LTD. CHAK BAILEY KHAN ROAD,TEXTILE WEAVING,", Rawalpindi",051-4630059,Rawalpindi,High
LACKSON TOBACCO INDUSTRIES LTD.,TOBACCO,"G.T.ROAD MANDRA, Rawalpindi",051-3591009,Rawalpindi,High
LOAN TYRE & RUBBER CO (PVT) LTD.,TYRES AND TUBES,"ADAMJEE STREET, Rawalpindi",051-5583629,Rawalpindi,High
RETREAD PLANT,TYRES AND TUBES,"EME 501 WORKSHOP (PAK ARMY), Rawalpindi",0333-5318477,Rawalpindi,High
NEW DELHI DAWAKHANA,UNANI MEDICINES,"662/AA, GHAZNI ROAD, Rawalpindi",051-5772945,Rawalpindi,High
AMIR ZAMAN WOOLEN INDUSTRIES,WOOLLEN TEXTILE,"P.O. PAKKA KHOH, KALLAR SYDAN, GUJAR KHAN, Rawalpindi",051-3360476,Rawalpindi,High
RAHAT WOOLLEN MILLS (PVT) LTD.,WOOLLEN TEXTILE,"400-A, PESHAWAR ROAD, Rawalpindi",051-5460384,Rawalpindi,High
